               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1038,            0.032215,            0.018328,              0.6685,             0.16636,              0.1605,            0.041711,                0.09,            0.024285,           0.0080204,            0.070545,           0.0032727,           0.0032727
                   1,            0.074834,            0.026432,           0.0087604,             0.72184,             0.36265,             0.26465,             0.11798,            0.071717,            0.020041,           0.0077156,            0.040502,           0.0065625,           0.0065625
                   2,            0.070868,             0.02448,           0.0088318,             0.66533,             0.24214,             0.18878,             0.06517,            0.072344,            0.017449,            0.007968,            0.010414,           0.0098082,           0.0098082
                   3,            0.065079,            0.022294,           0.0083642,             0.77226,             0.35767,             0.45887,             0.20055,            0.056771,            0.018179,           0.0067043,            0.009802,            0.009802,            0.009802
                   4,            0.052383,            0.021385,           0.0070756,             0.40821,             0.77088,             0.58451,             0.28902,             0.04966,            0.018177,           0.0055019,            0.009802,            0.009802,            0.009802
                   5,            0.045649,            0.019419,           0.0058964,             0.61863,             0.75332,             0.72957,             0.37864,            0.047616,              0.0172,           0.0039754,            0.009736,            0.009736,            0.009736
                   6,            0.043168,            0.019244,           0.0042076,             0.61937,             0.66997,             0.69311,             0.36948,            0.041764,             0.01663,           0.0035567,             0.00967,             0.00967,             0.00967
                   7,            0.040612,            0.018479,           0.0035403,             0.81988,             0.77344,             0.86843,             0.50705,            0.039055,            0.015805,           0.0029855,            0.009604,            0.009604,            0.009604
                   8,            0.038393,            0.017112,           0.0031147,             0.85014,             0.88774,             0.88566,             0.53277,            0.035442,            0.015035,           0.0029352,            0.009538,            0.009538,            0.009538
                   9,            0.036348,            0.017891,           0.0026637,             0.74351,             0.82276,             0.80587,             0.49759,            0.034668,            0.015126,           0.0060649,            0.009472,            0.009472,            0.009472
                  10,            0.035765,            0.016827,           0.0027329,             0.80916,             0.82479,             0.83235,             0.51707,             0.03391,            0.014569,           0.0031754,            0.009406,            0.009406,            0.009406
                  11,            0.034482,              0.0173,           0.0027654,              0.8728,             0.79065,             0.90469,             0.61222,            0.031488,            0.014254,           0.0028063,             0.00934,             0.00934,             0.00934
                  12,            0.033131,            0.016643,            0.002455,             0.78084,             0.91486,             0.90027,             0.51087,            0.027489,            0.014448,           0.0038668,            0.009274,            0.009274,            0.009274
                  13,            0.032023,            0.016547,           0.0024688,             0.86293,             0.83515,             0.92126,             0.66003,            0.026567,            0.014109,           0.0024542,            0.009208,            0.009208,            0.009208
                  14,            0.030996,            0.016015,           0.0021312,             0.79908,              0.8697,             0.91936,             0.67511,            0.023886,            0.013654,           0.0022543,            0.009142,            0.009142,            0.009142
                  15,            0.030608,            0.015802,           0.0021451,             0.82553,             0.86968,             0.90596,             0.63911,            0.026741,            0.013451,           0.0019748,            0.009076,            0.009076,            0.009076
                  16,            0.029507,            0.016037,           0.0019122,             0.79168,             0.93333,             0.94812,             0.73613,            0.025009,             0.01347,           0.0020375,             0.00901,             0.00901,             0.00901
                  17,            0.029052,            0.015321,           0.0019228,             0.91633,             0.79018,             0.93707,             0.65809,            0.024549,            0.013617,           0.0019417,            0.008944,            0.008944,            0.008944
                  18,             0.02939,            0.015882,           0.0018238,             0.82675,             0.81075,             0.91007,             0.61133,            0.025446,            0.014225,           0.0044919,            0.008878,            0.008878,            0.008878
                  19,            0.028996,             0.01565,           0.0017411,             0.90377,             0.86611,             0.95535,             0.70356,            0.023125,            0.012953,           0.0020784,            0.008812,            0.008812,            0.008812
                  20,            0.028459,            0.015033,           0.0016654,              0.9291,             0.85141,             0.96493,             0.72825,            0.024144,            0.013038,           0.0017857,            0.008746,            0.008746,            0.008746
                  21,            0.027749,            0.015443,           0.0015838,             0.88303,              0.8699,             0.95941,             0.71041,            0.026006,             0.01293,           0.0016207,             0.00868,             0.00868,             0.00868
                  22,             0.02706,            0.015011,           0.0015243,             0.92252,             0.86699,             0.95816,             0.62746,            0.025751,            0.013524,           0.0017249,            0.008614,            0.008614,            0.008614
                  23,            0.026905,            0.015363,           0.0015101,             0.84376,             0.92257,             0.95499,             0.71808,            0.022354,            0.012979,           0.0017752,            0.008548,            0.008548,            0.008548
                  24,            0.026148,            0.015243,            0.001628,             0.87406,             0.93848,              0.9611,             0.73865,            0.020477,            0.012877,           0.0017409,            0.008482,            0.008482,            0.008482
                  25,            0.025811,            0.014545,           0.0015326,             0.90446,             0.88834,             0.94175,             0.75434,            0.024633,            0.012915,           0.0024012,            0.008416,            0.008416,            0.008416
                  26,            0.025361,            0.014633,           0.0017248,             0.93518,             0.87562,             0.94853,              0.7312,            0.020677,            0.012222,           0.0016879,             0.00835,             0.00835,             0.00835
                  27,             0.02497,            0.014646,           0.0013369,             0.86363,             0.84128,             0.92116,              0.6929,             0.02058,            0.012423,           0.0015148,            0.008284,            0.008284,            0.008284
                  28,            0.025733,            0.014474,            0.001474,             0.84999,             0.88302,             0.93742,             0.74111,            0.019922,            0.012606,           0.0017964,            0.008218,            0.008218,            0.008218
                  29,            0.024436,            0.014347,           0.0013983,              0.8472,             0.88615,             0.92387,             0.67719,            0.021332,            0.012459,            0.002359,            0.008152,            0.008152,            0.008152
                  30,            0.023954,            0.013575,           0.0015077,             0.93075,             0.88001,             0.96232,             0.76652,            0.020874,            0.012417,           0.0013855,            0.008086,            0.008086,            0.008086
                  31,            0.024577,            0.014518,           0.0013034,             0.90955,             0.94884,             0.96903,             0.74609,             0.02109,             0.01274,           0.0011044,             0.00802,             0.00802,             0.00802
                  32,             0.02421,            0.014014,           0.0012805,              0.9262,             0.90728,             0.96426,             0.75526,             0.02234,            0.013349,           0.0012558,            0.007954,            0.007954,            0.007954
                  33,             0.02391,            0.014143,           0.0011316,              0.9234,             0.88373,             0.94945,             0.75126,            0.019261,            0.012415,           0.0016535,            0.007888,            0.007888,            0.007888
                  34,            0.022968,            0.013944,           0.0013532,             0.94783,             0.91756,             0.97163,             0.75301,            0.018584,            0.012121,           0.0011399,            0.007822,            0.007822,            0.007822
                  35,             0.02348,            0.013463,           0.0014191,             0.91986,             0.90464,             0.96416,             0.77244,            0.020327,            0.012276,           0.0013083,            0.007756,            0.007756,            0.007756
                  36,            0.023643,            0.013919,           0.0012136,             0.86214,             0.89115,              0.9446,             0.74409,            0.018026,            0.012182,           0.0017022,             0.00769,             0.00769,             0.00769
                  37,            0.023196,            0.013322,            0.001236,             0.85818,             0.91841,             0.96119,             0.76251,            0.018186,            0.011808,           0.0021957,            0.007624,            0.007624,            0.007624
                  38,            0.022361,            0.013503,           0.0010449,             0.91338,             0.90308,             0.96622,             0.76413,            0.020051,             0.01223,           0.0013593,            0.007558,            0.007558,            0.007558
                  39,            0.022842,            0.013898,           0.0012566,             0.92789,             0.87267,             0.96166,             0.73534,            0.020773,            0.012479,           0.0011372,            0.007492,            0.007492,            0.007492
                  40,            0.022158,            0.013137,           0.0010778,             0.88433,             0.87137,             0.96174,             0.76822,            0.017602,            0.011988,           0.0014392,            0.007426,            0.007426,            0.007426
                  41,            0.022297,            0.013439,          0.00099511,             0.89088,             0.89817,             0.96438,             0.78653,            0.018789,            0.012145,           0.0015864,             0.00736,             0.00736,             0.00736
                  42,            0.021798,            0.013154,           0.0011483,             0.91983,             0.90687,             0.96918,             0.75715,            0.019088,            0.012639,           0.0013299,            0.007294,            0.007294,            0.007294
                  43,            0.021951,             0.01363,           0.0010226,             0.94265,             0.88635,             0.97151,             0.78027,            0.019146,            0.012253,           0.0010942,            0.007228,            0.007228,            0.007228
                  44,            0.021991,            0.013086,          0.00095125,             0.92805,             0.93358,             0.97494,             0.76857,            0.018123,            0.011844,           0.0011054,            0.007162,            0.007162,            0.007162
                  45,             0.02157,            0.013577,           0.0011443,             0.89461,             0.87291,             0.94711,             0.75675,            0.018056,            0.012483,           0.0013004,            0.007096,            0.007096,            0.007096
                  46,            0.021483,            0.013411,             0.00103,             0.92571,             0.90741,             0.96577,             0.74849,            0.018099,            0.013023,           0.0011495,             0.00703,             0.00703,             0.00703
                  47,            0.021532,            0.013359,           0.0010086,              0.9349,             0.93753,             0.97659,             0.78377,            0.018136,            0.011778,          0.00093284,            0.006964,            0.006964,            0.006964
                  48,             0.02115,             0.01312,          0.00095635,              0.8978,             0.94713,             0.97721,             0.79117,            0.018451,            0.012036,          0.00090009,            0.006898,            0.006898,            0.006898
                  49,            0.021334,            0.013012,           0.0010648,             0.86146,             0.93062,             0.97224,             0.77533,             0.01723,            0.011434,            0.001076,            0.006832,            0.006832,            0.006832
                  50,            0.020768,            0.012741,           0.0010051,             0.92359,             0.89687,             0.97094,             0.79662,            0.017191,            0.011839,           0.0011671,            0.006766,            0.006766,            0.006766
                  51,            0.020031,            0.012991,          0.00081121,             0.89595,             0.90319,             0.96616,             0.76252,            0.019246,            0.013771,           0.0010108,              0.0067,              0.0067,              0.0067
                  52,            0.020655,            0.012449,          0.00087533,             0.94603,             0.89141,             0.97844,             0.79357,            0.018119,            0.012948,          0.00092362,            0.006634,            0.006634,            0.006634
                  53,            0.020037,            0.012485,          0.00096071,             0.87204,             0.97754,             0.96877,             0.77551,            0.017141,            0.011813,           0.0010681,            0.006568,            0.006568,            0.006568
                  54,            0.019518,            0.012188,          0.00089354,             0.89798,             0.91421,             0.97214,             0.76916,            0.016622,            0.011985,           0.0010133,            0.006502,            0.006502,            0.006502
                  55,            0.019785,            0.012429,          0.00083244,              0.9077,             0.90039,             0.96372,             0.78401,            0.016582,             0.01227,           0.0010108,            0.006436,            0.006436,            0.006436
                  56,            0.019932,            0.013184,          0.00099849,             0.91279,             0.89978,             0.96804,             0.77348,            0.017168,            0.011769,            0.001044,             0.00637,             0.00637,             0.00637
                  57,            0.020073,            0.012447,          0.00085081,             0.93261,             0.91551,             0.96234,             0.76375,            0.017064,            0.011764,          0.00098985,            0.006304,            0.006304,            0.006304
                  58,            0.019409,            0.012704,          0.00088248,             0.89752,             0.94333,             0.95983,             0.77271,            0.017824,             0.01213,          0.00089911,            0.006238,            0.006238,            0.006238
                  59,            0.019774,            0.012637,           0.0007975,             0.91066,             0.94532,             0.96577,             0.79893,             0.01591,            0.011533,          0.00093315,            0.006172,            0.006172,            0.006172
                  60,            0.019373,            0.012221,          0.00081192,             0.91945,             0.94308,             0.97474,             0.80575,            0.016701,            0.011739,           0.0009371,            0.006106,            0.006106,            0.006106
                  61,            0.019585,            0.012639,          0.00071358,              0.9352,             0.92127,             0.97029,             0.76332,            0.017431,            0.012322,          0.00097953,             0.00604,             0.00604,             0.00604
                  62,            0.018866,            0.011997,          0.00079027,             0.92499,             0.96049,             0.97899,             0.79861,            0.016899,            0.012039,          0.00083704,            0.005974,            0.005974,            0.005974
                  63,            0.018894,            0.012211,          0.00069213,             0.94745,             0.96084,             0.98266,              0.8007,            0.015977,            0.011227,          0.00093946,            0.005908,            0.005908,            0.005908
                  64,            0.018918,            0.012317,          0.00071032,             0.88708,             0.94798,             0.97186,             0.78867,            0.016468,            0.012156,           0.0011864,            0.005842,            0.005842,            0.005842
                  65,            0.018439,            0.012216,           0.0009586,             0.84685,             0.98103,             0.97674,              0.7886,            0.016239,            0.011434,          0.00081393,            0.005776,            0.005776,            0.005776
                  66,            0.018322,            0.012011,          0.00091825,              0.9114,             0.86797,             0.96119,             0.79839,            0.016504,            0.012299,          0.00095929,             0.00571,             0.00571,             0.00571
                  67,            0.018061,            0.011814,          0.00078741,             0.92221,             0.91989,             0.96211,             0.79072,            0.016533,             0.01159,          0.00097334,            0.005644,            0.005644,            0.005644
                  68,            0.018738,            0.012396,          0.00094163,             0.86964,             0.92293,             0.94665,             0.76436,            0.016048,            0.011594,           0.0016304,            0.005578,            0.005578,            0.005578
                  69,            0.018432,            0.012151,          0.00076771,             0.85775,             0.96196,             0.95587,             0.79038,            0.016757,            0.011489,          0.00092582,            0.005512,            0.005512,            0.005512
                  70,            0.017776,            0.012105,          0.00078882,             0.89396,             0.95896,             0.96397,             0.79402,            0.016092,            0.011069,          0.00090439,            0.005446,            0.005446,            0.005446
                  71,             0.01778,            0.011968,          0.00080025,             0.92106,             0.91943,             0.97604,             0.78066,            0.015996,            0.011218,          0.00091748,             0.00538,             0.00538,             0.00538
                  72,            0.018297,            0.012225,          0.00066637,             0.89245,             0.98244,             0.97798,             0.81524,            0.015505,             0.01126,          0.00089965,            0.005314,            0.005314,            0.005314
                  73,            0.018225,            0.011625,          0.00056941,             0.90603,             0.97643,              0.9756,             0.80511,            0.016092,             0.01103,          0.00087045,            0.005248,            0.005248,            0.005248
                  74,            0.017631,            0.011724,          0.00073112,             0.97856,             0.89227,             0.97968,             0.81251,            0.015975,            0.010968,           0.0010038,            0.005182,            0.005182,            0.005182
                  75,             0.01705,            0.011361,          0.00060916,              0.9577,             0.93038,             0.97633,              0.8072,            0.015595,            0.011024,          0.00087471,            0.005116,            0.005116,            0.005116
                  76,            0.017498,            0.011576,          0.00070943,             0.96313,             0.88003,              0.9729,             0.80526,            0.016124,            0.011422,          0.00088838,             0.00505,             0.00505,             0.00505
                  77,            0.017061,            0.011729,          0.00059863,             0.87966,             0.95701,             0.97114,             0.79205,            0.015217,            0.011054,           0.0008718,            0.004984,            0.004984,            0.004984
                  78,            0.016835,            0.011507,          0.00060469,             0.93569,             0.84662,             0.95451,             0.79287,            0.015479,            0.011371,           0.0010386,            0.004918,            0.004918,            0.004918
                  79,            0.016986,            0.011462,          0.00074533,              0.8529,             0.96249,              0.9582,             0.78852,            0.015961,            0.011044,          0.00080153,            0.004852,            0.004852,            0.004852
                  80,            0.016749,            0.011513,           0.0006471,             0.85745,             0.96341,             0.96993,             0.81696,            0.014772,            0.011008,           0.0008586,            0.004786,            0.004786,            0.004786
                  81,            0.016461,            0.011274,          0.00056833,             0.87205,             0.90964,             0.95392,             0.79424,              0.0155,            0.010969,           0.0011193,             0.00472,             0.00472,             0.00472
                  82,            0.016613,             0.01202,          0.00054107,             0.85705,             0.95694,              0.9642,             0.79422,            0.015077,            0.011111,          0.00089885,            0.004654,            0.004654,            0.004654
                  83,            0.015779,            0.010941,          0.00059918,             0.90842,             0.94592,             0.96452,              0.7822,            0.015524,            0.011387,          0.00083266,            0.004588,            0.004588,            0.004588
                  84,            0.016523,            0.011147,          0.00056578,             0.85918,             0.97947,             0.96447,             0.79897,            0.015926,            0.011317,          0.00082703,            0.004522,            0.004522,            0.004522
                  85,            0.015505,            0.010624,          0.00057864,             0.92402,             0.91815,              0.9706,             0.81604,            0.015154,            0.010917,          0.00083811,            0.004456,            0.004456,            0.004456
                  86,            0.015884,            0.010783,          0.00046361,             0.92022,             0.94998,              0.9678,             0.80765,            0.015511,            0.010993,           0.0007985,             0.00439,             0.00439,             0.00439
                  87,            0.015546,            0.011112,          0.00058376,               0.931,             0.93218,             0.96834,              0.7995,             0.01501,             0.01099,          0.00091135,            0.004324,            0.004324,            0.004324
                  88,            0.015544,            0.011057,           0.0005597,             0.87915,              0.9644,             0.95894,             0.79134,            0.015347,            0.011169,          0.00089645,            0.004258,            0.004258,            0.004258
                  89,            0.015879,            0.011057,          0.00046378,             0.93262,             0.89449,             0.96259,             0.80716,            0.014632,            0.010884,          0.00088801,            0.004192,            0.004192,            0.004192
                  90,            0.015315,            0.010758,          0.00046057,             0.89506,             0.95324,             0.96958,             0.81311,            0.015003,             0.01091,          0.00088399,            0.004126,            0.004126,            0.004126
                  91,            0.015482,            0.010958,            0.000495,             0.91246,             0.93894,             0.96741,             0.80499,             0.01452,            0.010656,          0.00095914,             0.00406,             0.00406,             0.00406
                  92,            0.015239,             0.01092,          0.00052131,             0.90843,             0.93671,             0.97227,             0.80712,            0.015127,            0.011231,           0.0008767,            0.003994,            0.003994,            0.003994
